nSeq,I1,I2,O1,O2,A1,A2,A3,A4,A5,A6
5,0,0,0,0,515,502,0,0,0,0
6,0,0,0,0,502,502,0,0,0,0
7,0,0,0,0,503,496,0,0,0,0
8,0,0,0,0,517,481,0,0,0,0
9,0,0,0,0,523,490,0,0,0,0
10,0,0,0,0,511,514,0,0,0,0
11,0,0,0,0,513,515,0,0,0,0
12,0,0,0,0,529,524,0,0,0,0
13,0,0,0,0,533,529,0,0,0,0
14,0,0,0,0,520,532,0,0,0,0
15,0,0,0,0,515,527,0,0,0,0
0,0,0,0,0,521,522,0,0,0,0
1,0,0,0,0,519,517,0,0,0,0
2,0,0,0,0,501,522,0,0,0,0
3,0,0,0,0,493,515,0,0,0,0
4,0,0,0,0,496,480,0,0,0,0
5,0,0,0,0,492,360,0,0,0,0
6,0,0,0,0,484,55,0,0,0,0
7,0,0,0,0,467,50,0,0,0,0
8,0,0,0,0,472,664,1,0,0,0
9,0,0,0,0,480,994,3,0,0,0
10,0,0,0,0,479,799,1,0,0,0
11,0,0,0,0,469,627,1,0,0,0
12,0,0,0,0,479,551,0,0,0,0
13,0,0,0,0,487,520,0,0,0,0
14,0,0,0,0,484,516,0,0,0,0
15,0,0,0,0,483,509,0,0,0,0
0,0,0,0,0,498,498,0,0,0,0
1,0,0,0,0,507,490,0,0,0,0
2,0,0,0,0,498,494,0,0,0,0
3,0,0,0,0,504,491,0,0,0,0
4,0,0,0,0,519,485,0,0,0,0
5,0,0,0,0,525,479,0,0,0,0
6,0,0,0,0,512,483,0,0,0,0
7,0,0,0,0,510,473,0,0,0,0
8,0,0,0,0,513,467,0,0,0,0
9,0,0,0,0,509,466,0,0,0,0
10,0,0,0,0,487,476,0,0,0,0
11,0,0,0,0,494,478,0,0,0,0
12,0,0,0,0,527,478,0,0,0,0
13,0,0,0,0,571,480,0,0,0,0
14,0,0,0,0,615,495,0,0,0,0
15,0,0,0,0,684,499,0,0,0,0
0,0,0,0,0,764,490,0,0,0,0
1,0,0,0,0,829,515,0,0,0,0
2,0,0,0,0,866,526,0,0,0,0
3,0,0,0,0,894,511,0,0,0,0
4,0,0,0,0,912,484,0,0,0,0
5,0,0,0,0,896,522,0,0,0,0
6,0,0,0,0,876,583,0,0,0,0
7,0,0,0,0,837,555,1,0,0,0
8,0,0,0,0,783,572,0,0,0,0
9,0,0,0,0,720,494,0,0,0,0
10,0,0,0,0,658,529,0,0,0,0
11,0,0,0,0,615,565,1,0,0,0
12,0,0,0,0,574,587,0,0,0,0
13,0,0,0,0,527,568,0,0,0,0
14,0,0,0,0,498,552,0,0,0,0
15,0,0,0,0,487,513,0,0,0,0
0,0,0,0,0,479,531,0,0,0,0
1,0,0,0,0,463,524,0,0,0,0
2,0,0,0,0,472,522,0,0,0,0
3,0,0,0,0,475,475,0,0,0,0
4,0,0,0,0,464,542,0,0,0,0
5,0,0,0,0,470,553,0,0,0,0
6,0,0,0,0,486,558,0,0,0,0
7,0,0,0,0,493,542,0,0,0,0
8,0,0,0,0,493,535,0,0,0,0
9,0,0,0,0,514,525,0,0,0,0
10,0,0,0,0,532,449,0,0,0,0
11,0,0,0,0,534,521,0,0,0,0
12,0,0,0,0,546,529,0,0,0,0
13,0,0,0,0,560,551,0,0,0,0
14,0,0,0,0,565,528,0,0,0,0
15,0,0,0,0,551,508,0,0,0,0
0,0,0,0,0,548,479,0,0,0,0
1,0,0,0,0,554,488,0,0,0,0
2,0,0,0,0,550,527,0,0,0,0
3,0,0,0,0,525,497,0,0,0,0
4,0,0,0,0,512,558,0,0,0,0
5,0,0,0,0,510,489,0,0,0,0
6,0,0,0,0,498,524,0,0,0,0
7,0,0,0,0,471,472,0,0,0,0
8,0,0,0,0,461,483,0,0,0,0
9,0,0,0,0,462,474,0,0,0,0
10,0,0,0,0,452,465,0,0,0,0
11,0,0,0,0,445,496,0,0,0,0
12,0,0,0,0,431,517,0,0,0,0
13,0,0,0,0,410,455,0,0,0,0
14,0,0,0,0,412,528,0,0,0,0
15,0,0,0,0,410,514,0,0,0,0
0,0,0,0,0,403,525,0,0,0,0
1,0,0,0,0,388,515,0,0,0,0
2,0,0,0,0,393,476,0,0,0,0
3,0,0,0,0,406,485,0,0,0,0
4,0,0,0,0,412,559,0,0,0,0
5,0,0,0,0,412,551,0,0,0,0
6,0,0,0,0,432,516,0,0,0,0
7,0,0,0,0,449,472,0,0,0,0
8,0,0,0,0,454,432,0,0,0,0
9,0,0,0,0,469,308,0,0,0,0
10,0,0,0,0,498,15,0,0,0,0
11,0,0,0,0,516,244,0,0,0,0
12,0,0,0,0,515,857,2,0,0,0
13,0,0,0,0,530,864,2,0,0,0
14,0,0,0,0,542,736,1,0,0,0
15,0,0,0,0,540,616,1,0,0,0
0,0,0,0,0,527,567,0,0,0,0
1,0,0,0,0,532,531,0,0,0,0
2,0,0,0,0,531,506,0,0,0,0
3,0,0,0,0,514,460,0,0,0,0
4,0,0,0,0,509,512,0,0,0,0
5,0,0,0,0,508,487,0,0,0,0
6,0,0,0,0,498,463,0,0,0,0
7,0,0,0,0,473,488,0,0,0,0
8,0,0,0,0,472,505,0,0,0,0
9,0,0,0,0,472,494,0,0,0,0
10,0,0,0,0,463,486,0,0,0,0
11,0,0,0,0,442,480,0,0,0,0
12,0,0,0,0,449,476,0,0,0,0
13,0,0,0,0,454,466,0,0,0,0
14,0,0,0,0,453,464,0,0,0,0
15,0,0,0,0,466,470,0,0,0,0
0,0,0,0,0,512,476,0,0,0,0
1,0,0,0,0,563,470,0,0,0,0
2,0,0,0,0,617,479,0,0,0,0
3,0,0,0,0,679,484,0,0,0,0
4,0,0,0,0,724,502,0,0,0,0
5,0,0,0,0,774,509,0,0,0,0
6,0,0,0,0,819,511,0,0,0,0
7,0,0,0,0,841,513,0,0,0,0
8,0,0,0,0,829,529,0,0,0,0
9,0,0,0,0,823,532,0,0,0,0
10,0,0,0,0,800,540,0,0,0,0
11,0,0,0,0,753,546,0,0,0,0
12,0,0,0,0,705,556,0,0,0,0
13,0,0,0,0,667,546,0,0,0,0
14,0,0,0,0,620,547,0,0,0,0
15,0,0,0,0,561,541,1,0,0,0
0,0,0,0,0,520,540,0,0,0,0
1,0,0,0,0,502,530,0,0,0,0
2,0,0,0,0,484,530,0,0,0,0
3,0,0,0,0,456,530,0,0,0,0
4,0,0,0,0,451,528,0,0,0,0
5,0,0,0,0,460,517,0,0,0,0
6,0,0,0,0,460,519,0,0,0,0
7,0,0,0,0,448,522,0,0,0,0
8,0,0,0,0,459,524,0,0,0,0
9,0,0,0,0,459,523,0,0,0,0
10,0,0,0,0,479,519,0,0,0,0
11,0,0,0,0,492,513,0,0,0,0
12,0,0,0,0,490,523,0,0,0,0
13,0,0,0,0,501,516,0,0,0,0
14,0,0,0,0,516,512,0,0,0,0
15,0,0,0,0,521,508,0,0,0,0
0,0,0,0,0,519,515,0,0,0,0
1,0,0,0,0,533,501,0,0,0,0
2,0,0,0,0,539,504,0,0,0,0
3,0,0,0,0,528,503,0,0,0,0
4,0,0,0,0,528,507,0,0,0,0
5,0,0,0,0,531,496,0,0,0,0
6,0,0,0,0,523,500,0,0,0,0
7,0,0,0,0,505,503,0,0,0,0
8,0,0,0,0,496,506,0,0,0,0
9,0,0,0,0,497,497,0,0,0,0
10,0,0,0,0,492,502,0,0,0,0
11,0,0,0,0,478,487,0,0,0,0
12,0,0,0,0,454,489,0,0,0,0
13,0,0,0,0,450,480,0,0,0,0
14,0,0,0,0,435,472,0,0,0,0
15,0,0,0,0,433,483,0,0,0,0
0,0,0,0,0,436,495,0,0,0,0
1,0,0,0,0,429,500,0,0,0,0
2,0,0,0,0,422,519,0,0,0,0
3,0,0,0,0,433,518,0,0,0,0
4,0,0,0,0,436,519,0,0,0,0
5,0,0,0,0,425,519,0,0,0,0
6,0,0,0,0,435,516,0,0,0,0
7,0,0,0,0,442,508,0,0,0,0
8,0,0,0,0,436,513,0,0,0,0
9,0,0,0,0,440,508,0,0,0,0
10,0,0,0,0,452,474,0,0,0,0
11,0,0,0,0,457,368,0,0,0,0
12,0,0,0,0,446,84,0,0,0,0
13,0,0,0,0,457,58,0,0,0,0
14,0,0,0,0,461,638,0,0,0,0
15,0,0,0,0,449,984,3,0,0,0
0,0,0,0,0,450,791,1,0,0,0
1,0,0,0,0,462,638,0,0,0,0
2,0,0,0,0,466,543,0,0,0,0
3,0,0,0,0,454,508,0,0,0,0
4,0,0,0,0,455,499,0,0,0,0
5,0,0,0,0,465,482,0,0,0,0
6,0,0,0,0,466,479,0,0,0,0
7,0,0,0,0,450,479,0,0,0,0
8,0,0,0,0,451,479,0,0,0,0
9,0,0,0,0,464,468,0,0,0,0
10,0,0,0,0,467,469,0,0,0,0
11,0,0,0,0,463,462,0,0,0,0
12,0,0,0,0,454,465,0,0,0,0
13,0,0,0,0,445,465,0,0,0,0
14,0,0,0,0,453,463,0,0,0,0
15,0,0,0,0,455,458,0,0,0,0
0,0,0,0,0,449,462,0,0,0,0
1,0,0,0,0,451,464,0,0,0,0
2,0,0,0,0,480,463,0,0,0,0
3,0,0,0,0,519,460,0,0,0,0
4,0,0,0,0,555,478,0,0,0,0
5,0,0,0,0,625,474,0,0,0,0
6,0,0,0,0,694,488,0,0,0,0
7,0,0,0,0,741,498,0,0,0,0
8,0,0,0,0,781,512,0,0,0,0
9,0,0,0,0,819,512,0,0,0,0
10,0,0,0,0,832,521,0,0,0,0
11,0,0,0,0,810,534,1,0,0,0
12,0,0,0,0,787,547,0,0,0,0
13,0,0,0,0,762,544,0,0,0,0
14,0,0,0,0,719,546,0,0,0,0
15,0,0,0,0,655,551,1,0,0,0
0,0,0,0,0,604,553,0,0,0,0
1,0,0,0,0,560,541,0,0,0,0
2,0,0,0,0,512,539,0,0,0,0
3,0,0,0,0,459,540,1,0,0,0
4,0,0,0,0,438,533,0,0,0,0
5,0,0,0,0,420,523,0,0,0,0
6,0,0,0,0,395,527,0,0,0,0
7,0,0,0,0,379,525,0,0,0,0
8,0,0,0,0,388,520,0,0,0,0
9,0,0,0,0,395,514,0,0,0,0
10,0,0,0,0,385,522,0,0,0,0
11,0,0,0,0,392,519,0,0,0,0
12,0,0,0,0,412,517,0,0,0,0
13,0,0,0,0,428,514,0,0,0,0
14,0,0,0,0,430,521,0,0,0,0
15,0,0,0,0,446,519,0,0,0,0
0,0,0,0,0,471,519,0,0,0,0
1,0,0,0,0,488,512,0,0,0,0
2,0,0,0,0,497,516,0,0,0,0
3,0,0,0,0,495,518,1,0,0,0
4,0,0,0,0,506,518,0,0,0,0
5,0,0,0,0,517,509,0,0,0,0
6,0,0,0,0,515,512,0,0,0,0
7,0,0,0,0,500,515,0,0,0,0
8,0,0,0,0,507,505,0,0,0,0
9,0,0,0,0,505,486,0,0,0,0
10,0,0,0,0,484,490,0,0,0,0
11,0,0,0,0,476,479,0,0,0,0
12,0,0,0,0,479,492,0,0,0,0
13,0,0,0,0,465,503,0,0,0,0
14,0,0,0,0,464,508,0,0,0,0
15,0,0,0,0,460,515,1,0,0,0
0,0,0,0,0,445,528,0,0,0,0
1,0,0,0,0,433,524,0,0,0,0
2,0,0,0,0,440,522,0,0,0,0
3,0,0,0,0,440,515,0,0,0,0
4,0,0,0,0,428,520,0,0,0,0
5,0,0,0,0,431,513,0,0,0,0
6,0,0,0,0,442,511,0,0,0,0
7,0,0,0,0,442,484,0,0,0,0
8,0,0,0,0,435,400,0,0,0,0
9,0,0,0,0,449,107,0,0,0,0
10,0,0,0,0,456,17,0,0,0,0
11,0,0,0,0,450,563,1,0,0,0
12,0,0,0,0,455,1006,3,0,0,0
13,0,0,0,0,466,803,1,0,0,0
14,0,0,0,0,472,673,1,0,0,0
15,0,0,0,0,462,564,1,0,0,0
0,0,0,0,0,475,515,0,0,0,0
1,0,0,0,0,481,495,0,0,0,0
2,0,0,0,0,472,497,0,0,0,0
3,0,0,0,0,466,491,0,0,0,0
4,0,0,0,0,478,483,0,0,0,0
5,0,0,0,0,481,475,0,0,0,0
6,0,0,0,0,476,475,0,0,0,0
7,0,0,0,0,469,470,0,0,0,0
8,0,0,0,0,458,472,0,0,0,0
9,0,0,0,0,450,466,0,0,0,0
10,0,0,0,0,444,471,0,0,0,0
11,0,0,0,0,429,472,0,0,0,0
12,0,0,0,0,423,475,0,0,0,0
13,0,0,0,0,440,468,0,0,0,0
